renou_axis,renou_code,renou_label,year,primary_topic,list_function,message_count,thread_count,author_count
register,tantra,Tantra,2017,Bibliographic requests,bibliographic request,1,1,1
register,tantra,Tantra,2017,Texts and philology,general discussion,6,1,4
register,tantra,Tantra,2018,Announcements and events,announcement/event,2,2,1
register,tantra,Tantra,2018,Texts and philology,philological discussion,3,1,2
register,tantra,Tantra,2019,Announcements and events,announcement/event,2,2,2
register,tantra,Tantra,2019,Manuscripts and epigraphy,general discussion,3,1,2
register,tantra,Tantra,2019,Texts and philology,general discussion,17,2,6
register,tantra,Tantra,2020,Bibliographic requests,identification/help request,6,1,3
register,tantra,Tantra,2020,General scholarly discussion,announcement/event,1,1,1
register,tantra,Tantra,2020,General scholarly discussion,general discussion,2,1,2
register,tantra,Tantra,2020,Texts and philology,general discussion,11,2,6
register,tantra,Tantra,2021,Digital resources and tools,digital resource/tool,2,2,1
register,tantra,Tantra,2022,General scholarly discussion,general discussion,2,1,1
register,tantra,Tantra,2022,Texts and philology,general discussion,1,1,1
register,tantra,Tantra,2022,Texts and philology,philological discussion,4,1,3
register,tantra,Tantra,2023,Announcements and events,announcement/event,1,1,1
register,tantra,Tantra,2023,Digital resources and tools,digital resource/tool,2,2,2
register,tantra,Tantra,2024,Bibliographic requests,general discussion,1,1,1
register,tantra,Tantra,2024,Bibliographic requests,identification/help request,1,1,1
register,tantra,Tantra,2024,Texts and philology,general discussion,10,2,9
register,tantra,Tantra,2024,Texts and philology,philological discussion,1,1,1
register,tantra,Tantra,2025,Announcements and events,announcement/event,2,2,2
register,tantra,Tantra,2026,Announcements and events,announcement/event,1,1,1
register,upanisad,Upaniṣad,1993,Veda and ritual,general discussion,1,1,1
register,upanisad,Upaniṣad,1993,Veda and ritual,philological discussion,4,2,3
register,upanisad,Upaniṣad,1994,Veda and ritual,philological discussion,3,2,3
register,upanisad,Upaniṣad,1995,Veda and ritual,general discussion,1,1,1
register,upanisad,Upaniṣad,1996,Veda and ritual,general discussion,11,10,9
register,upanisad,Upaniṣad,1997,Veda and ritual,general discussion,14,5,7
register,upanisad,Upaniṣad,1998,Veda and ritual,general discussion,19,17,16
register,upanisad,Upaniṣad,1999,Announcements and events,announcement/event,1,1,1
register,upanisad,Upaniṣad,1999,General scholarly discussion,general discussion,7,4,6
register,upanisad,Upaniṣad,1999,Veda and ritual,general discussion,8,7,7
register,upanisad,Upaniṣad,2000,Veda and ritual,philological discussion,1,1,1
register,upanisad,Upaniṣad,2001,General scholarly discussion,general discussion,5,2,4
register,upanisad,Upaniṣad,2002,Veda and ritual,general discussion,8,2,6
register,upanisad,Upaniṣad,2003,Veda and ritual,general discussion,1,1,1
register,upanisad,Upaniṣad,2013,General scholarly discussion,general discussion,3,1,3
register,upanisad,Upaniṣad,2015,Veda and ritual,general discussion,6,2,5
register,upanisad,Upaniṣad,2016,General scholarly discussion,general discussion,1,1,1
register,upanisad,Upaniṣad,2016,Veda and ritual,general discussion,5,2,3
register,upanisad,Upaniṣad,2018,General scholarly discussion,general discussion,3,1,2
register,upanisad,Upaniṣad,2018,Veda and ritual,general discussion,8,3,7
register,upanisad,Upaniṣad,2020,Veda and ritual,general discussion,4,2,4
register,upanisad,Upaniṣad,2021,General scholarly discussion,general discussion,1,1,1
register,upanisad,Upaniṣad,2022,General scholarly discussion,general discussion,1,1,1
register,upanisad,Upaniṣad,2022,Veda and ritual,general discussion,3,1,3
register,upanisad,Upaniṣad,2023,Veda and ritual,general discussion,5,2,4
register,upanisad,Upaniṣad,2024,Bibliographic requests,identification/help request,10,1,7
register,upanisad,Upaniṣad,2024,General scholarly discussion,announcement/event,3,2,3
register,upanisad,Upaniṣad,2025,Veda and ritual,general discussion,7,3,7
register,vyakarana,Vyākaraṇa,1991,Grammar and linguistics,philological discussion,1,1,1
register,vyakarana,Vyākaraṇa,1993,Announcements and events,announcement/event,1,1,1
register,vyakarana,Vyākaraṇa,1993,General scholarly discussion,general discussion,5,4,4
register,vyakarana,Vyākaraṇa,1993,Grammar and linguistics,philological discussion,13,6,11
register,vyakarana,Vyākaraṇa,1994,Grammar and linguistics,identification/help request,3,2,3
register,vyakarana,Vyākaraṇa,1994,Grammar and linguistics,philological discussion,1,1,1
register,vyakarana,Vyākaraṇa,1995,Grammar and linguistics,announcement/event,1,1,1
register,vyakarana,Vyākaraṇa,1995,Grammar and linguistics,philological discussion,13,10,12
register,vyakarana,Vyākaraṇa,1996,Grammar and linguistics,philological discussion,7,7,7
register,vyakarana,Vyākaraṇa,1996,Veda and ritual,philological discussion,3,3,3
register,vyakarana,Vyākaraṇa,1997,General scholarly discussion,general discussion,3,2,3
register,vyakarana,Vyākaraṇa,1997,General scholarly discussion,identification/help request,11,10,9
register,vyakarana,Vyākaraṇa,1997,Grammar and linguistics,philological discussion,14,11,11
register,vyakarana,Vyākaraṇa,1997,Veda and ritual,philological discussion,2,2,2
register,vyakarana,Vyākaraṇa,1998,Grammar and linguistics,philological discussion,36,31,31
register,vyakarana,Vyākaraṇa,1999,General scholarly discussion,general discussion,1,1,1
register,vyakarana,Vyākaraṇa,1999,Grammar and linguistics,identification/help request,3,2,2
register,vyakarana,Vyākaraṇa,1999,Grammar and linguistics,philological discussion,148,78,57
register,vyakarana,Vyākaraṇa,2000,Digital resources and tools,digital resource/tool,2,2,2
register,vyakarana,Vyākaraṇa,2000,General scholarly discussion,general discussion,1,1,1
register,vyakarana,Vyākaraṇa,2000,Grammar and linguistics,philological discussion,8,7,7
register,vyakarana,Vyākaraṇa,2001,Grammar and linguistics,identification/help request,3,3,3
register,vyakarana,Vyākaraṇa,2001,Grammar and linguistics,philological discussion,25,14,17
register,vyakarana,Vyākaraṇa,2003,Grammar and linguistics,philological discussion,2,2,2
register,vyakarana,Vyākaraṇa,2005,Digital resources and tools,digital resource/tool,1,1,1
register,vyakarana,Vyākaraṇa,2006,Grammar and linguistics,philological discussion,13,5,10
register,vyakarana,Vyākaraṇa,2007,General scholarly discussion,general discussion,10,3,9
register,vyakarana,Vyākaraṇa,2007,Grammar and linguistics,philological discussion,3,2,2
register,vyakarana,Vyākaraṇa,2008,Grammar and linguistics,philological discussion,5,5,4
register,vyakarana,Vyākaraṇa,2009,Announcements and events,announcement/event,1,1,1
register,vyakarana,Vyākaraṇa,2009,Grammar and linguistics,philological discussion,2,2,2
register,vyakarana,Vyākaraṇa,2010,Announcements and events,announcement/event,5,5,4
register,vyakarana,Vyākaraṇa,2010,Grammar and linguistics,philological discussion,3,2,3
register,vyakarana,Vyākaraṇa,2011,Bibliographic requests,bibliographic request,2,2,2
register,vyakarana,Vyākaraṇa,2011,Grammar and linguistics,philological discussion,10,5,7
register,vyakarana,Vyākaraṇa,2012,Announcements and events,announcement/event,2,2,2
register,vyakarana,Vyākaraṇa,2012,General scholarly discussion,general discussion,2,1,1
register,vyakarana,Vyākaraṇa,2012,Grammar and linguistics,philological discussion,5,3,5
register,vyakarana,Vyākaraṇa,2012,Veda and ritual,general discussion,1,1,1
register,vyakarana,Vyākaraṇa,2013,Bibliographic requests,identification/help request,2,1,1
register,vyakarana,Vyākaraṇa,2013,Digital resources and tools,digital resource/tool,1,1,1
register,vyakarana,Vyākaraṇa,2013,Grammar and linguistics,philological discussion,23,6,11
register,vyakarana,Vyākaraṇa,2014,Announcements and events,announcement/event,2,1,2
register,vyakarana,Vyākaraṇa,2014,Bibliographic requests,bibliographic request,3,1,3
register,vyakarana,Vyākaraṇa,2014,Digital resources and tools,digital resource/tool,2,1,2
register,vyakarana,Vyākaraṇa,2015,Announcements and events,announcement/event,1,1,1
register,vyakarana,Vyākaraṇa,2015,Bibliographic requests,general discussion,3,2,2
register,vyakarana,Vyākaraṇa,2015,General scholarly discussion,general discussion,2,1,2
register,vyakarana,Vyākaraṇa,2015,Grammar and linguistics,philological discussion,8,5,6
register,vyakarana,Vyākaraṇa,2016,Announcements and events,announcement/event,1,1,1
register,vyakarana,Vyākaraṇa,2016,Bibliographic requests,bibliographic request,3,1,2
register,vyakarana,Vyākaraṇa,2016,Grammar and linguistics,identification/help request,4,1,3
register,vyakarana,Vyākaraṇa,2016,Grammar and linguistics,philological discussion,14,5,10
register,vyakarana,Vyākaraṇa,2017,Bibliographic requests,bibliographic request,1,1,1
register,vyakarana,Vyākaraṇa,2017,Bibliographic requests,philological discussion,2,1,1
register,vyakarana,Vyākaraṇa,2017,Buddhism and Jainism,philological discussion,3,1,2
register,vyakarana,Vyākaraṇa,2017,General scholarly discussion,general discussion,14,2,9
register,vyakarana,Vyākaraṇa,2017,Grammar and linguistics,identification/help request,1,1,1
register,vyakarana,Vyākaraṇa,2017,Grammar and linguistics,philological discussion,8,3,4
register,vyakarana,Vyākaraṇa,2018,Bibliographic requests,philological discussion,2,1,2
register,vyakarana,Vyākaraṇa,2018,Grammar and linguistics,philological discussion,13,2,11
register,vyakarana,Vyākaraṇa,2019,Grammar and linguistics,identification/help request,13,2,7
register,vyakarana,Vyākaraṇa,2019,Grammar and linguistics,philological discussion,7,3,6
register,vyakarana,Vyākaraṇa,2020,Bibliographic requests,bibliographic request,2,1,2
register,vyakarana,Vyākaraṇa,2020,Grammar and linguistics,identification/help request,13,3,7
register,vyakarana,Vyākaraṇa,2020,Grammar and linguistics,philological discussion,13,4,7
register,vyakarana,Vyākaraṇa,2021,Bibliographic requests,bibliographic request,3,2,2
register,vyakarana,Vyākaraṇa,2021,Buddhism and Jainism,philological discussion,2,1,2
register,vyakarana,Vyākaraṇa,2021,Grammar and linguistics,identification/help request,16,3,13
register,vyakarana,Vyākaraṇa,2021,Grammar and linguistics,philological discussion,25,4,15
register,vyakarana,Vyākaraṇa,2021,Veda and ritual,general discussion,1,1,1
register,vyakarana,Vyākaraṇa,2022,Announcements and events,announcement/event,3,2,3
register,vyakarana,Vyākaraṇa,2022,Grammar and linguistics,philological discussion,7,2,4
register,vyakarana,Vyākaraṇa,2023,Announcements and events,announcement/event,3,3,2
register,vyakarana,Vyākaraṇa,2023,Bibliographic requests,identification/help request,2,1,2
register,vyakarana,Vyākaraṇa,2023,General scholarly discussion,general discussion,4,1,2
register,vyakarana,Vyākaraṇa,2023,Grammar and linguistics,philological discussion,1,1,1
register,vyakarana,Vyākaraṇa,2024,Announcements and events,announcement/event,1,1,1
register,vyakarana,Vyākaraṇa,2024,Grammar and linguistics,identification/help request,3,1,3
register,vyakarana,Vyākaraṇa,2024,Grammar and linguistics,philological discussion,43,6,20
register,vyakarana,Vyākaraṇa,2026,Announcements and events,announcement/event,2,1,1
register,yajus,Yajurveda,1997,Veda and ritual,general discussion,2,2,2
register,yajus,Yajurveda,2000,Bibliographic requests,general discussion,1,1,1
register,yajus,Yajurveda,2001,Veda and ritual,general discussion,1,1,1
register,yajus,Yajurveda,2002,Veda and ritual,general discussion,9,4,7
register,yajus,Yajurveda,2013,Veda and ritual,general discussion,1,1,1
register,yajus,Yajurveda,2015,Veda and ritual,general discussion,3,1,2
register,yajus,Yajurveda,2015,Veda and ritual,philological discussion,2,1,2
register,yajus,Yajurveda,2016,Digital resources and tools,digital resource/tool,1,1,1
register,yajus,Yajurveda,2022,Veda and ritual,general discussion,4,1,2
